date,open,high,low,close
2017-07-12 11-AM,2338.54,2365.49,2331.33,2353.23
2017-07-12 12-PM,2353.23,2365.12,2340,2341.99
2017-07-12 01-PM,2341.99,2346,2340,2344.3
2017-07-12 02-PM,2344.3,2355.96,2343.06,2354.99
2017-07-12 03-PM,2354.99,2380,2354.13,2370
2017-07-12 04-PM,2370,2393.95,2367.05,2393.62
2017-07-12 05-PM,2393.62,2415,2383.24,2403.61
2017-07-12 06-PM,2403.61,2403.61,2386.19,2400
2017-07-12 07-PM,2400,2410,2391.01,2397.69
2017-07-12 08-PM,2397.69,2403.94,2361.69,2378.52
2017-07-12 09-PM,2378.52,2378.58,2350.05,2364.43
2017-07-12 10-PM,2364.43,2382.14,2358.35,2376.99
2017-07-12 11-PM,2376.99,2387.73,2357,2383.42
2017-07-13 12-AM,2383.42,2393.4,2375.01,2383.62
2017-07-13 01-AM,2383.62,2392.97,2377.26,2392.96
2017-07-13 02-AM,2392.96,2404.99,2392.55,2404.99
2017-07-13 03-AM,2404.99,2416.79,2404.71,2410
2017-07-13 04-AM,2410,2410,2386.1,2387.21
2017-07-13 05-AM,2387.21,2393.7,2377.72,2385
2017-07-13 06-AM,2385,2385.01,2382.16,2384
2017-07-13 07-AM,2384,2384,2371.04,2371.04
2017-07-13 08-AM,2371.04,2379,2362.5,2378.65
2017-07-13 09-AM,2378.65,2378.66,2371.12,2371.39
2017-07-13 10-AM,2371.39,2378.46,2367.04,2373.01
2017-07-13 11-AM,2373.01,2385.76,2370.54,2385.76
2017-07-13 12-PM,2385.76,2389.95,2380.02,2380.02
2017-07-13 01-PM,2380.02,2380.28,2356.04,2362.94
2017-07-13 02-PM,2362.94,2370.65,2350.05,2367.54
2017-07-13 03-PM,2367.54,2367.54,2320.52,2330.98
2017-07-13 04-PM,2330.98,2341.39,2330.5,2340.01
2017-07-13 05-PM,2340.01,2340.01,2308.14,2319.43
2017-07-13 06-PM,2319.43,2339.19,2308.18,2326.28
2017-07-13 07-PM,2326.28,2335.9,2312.64,2335.22
2017-07-13 08-PM,2335.22,2339.19,2323.71,2338.6
2017-07-13 09-PM,2338.6,2339.99,2320.95,2334.5
2017-07-13 10-PM,2334.5,2347.88,2324.6,2345.24
2017-07-13 11-PM,2345.24,2351.15,2336.83,2340
2017-07-14 12-AM,2340,2349.03,2329.16,2336.67
2017-07-14 01-AM,2336.67,2339.87,2312,2312.02
2017-07-14 02-AM,2312.02,2312.67,2301,2301.83
2017-07-14 03-AM,2301.83,2316.01,2301.08,2308.5
2017-07-14 04-AM,2308.5,2326.23,2308.49,2323.34
2017-07-14 05-AM,2323.34,2329.73,2320.13,2325.03
2017-07-14 06-AM,2325.03,2340.92,2325.03,2340.05
2017-07-14 07-AM,2340.05,2349.28,2337.11,2340
2017-07-14 08-AM,2340,2342.18,2327.67,2337.38
2017-07-14 09-AM,2337.38,2340.01,2333.19,2335.42
2017-07-14 10-AM,2335.42,2342.79,2327.01,2342.15
2017-07-14 11-AM,2342.15,2342.16,2328.07,2328.09
2017-07-14 12-PM,2328.09,2328.09,2268.91,2270
2017-07-14 01-PM,2270,2287.6,2265.68,2270.07
2017-07-14 02-PM,2270.07,2270.87,2250,2269.79
2017-07-14 03-PM,2269.79,2281.1,2245,2246.49
2017-07-14 04-PM,2246.49,2262,2187,2206.5
2017-07-14 05-PM,2206.5,2207,2178.92,2199.61
2017-07-14 06-PM,2199.61,2219.69,2180,2217.41
2017-07-14 07-PM,2217.41,2218,2195.06,2200
2017-07-14 08-PM,2200,2200,2156.25,2162.02
2017-07-14 09-PM,2162.02,2188,2150,2177.91
2017-07-14 10-PM,2177.91,2210.07,2166.33,2203.01
2017-07-14 11-PM,2203.01,2228.14,2200.58,2217.24
2017-07-15 12-AM,2217.24,2224.82,2200,2211.5
2017-07-15 01-AM,2211.5,2217.14,2185.32,2187.79
